time,exp1_s1,exp1_s1_Distorted,exp1_s2,exp1_s2_Distorted,exp2_s1,exp2_s1_Distorted,exp2_s2,exp2_s2_Distorted,exp3_s1,exp3_s1_Distorted,exp3_s2,exp3_s2_Distorted,exp4_s1,exp4_s1_Distorted,exp4_s2,exp4_s2_Distorted,exp5_s1,exp5_s1_Distorted,exp5_s2,exp5_s2_Distorted,exp6_s1,exp6_s1_Distorted,exp6_s2,exp6_s2_Distorted,exp7_s1,exp7_s1_Distorted,exp7_s2,exp7_s2_Distorted,exp8_s1,exp8_s1_Distorted,exp8_s2,exp8_s2_Distorted,exp9_s1,exp9_s1_Distorted,exp9_s2,exp9_s2_Distorted,exp10_s1,exp10_s1_Distorted,exp10_s2,exp10_s2_Distorted,exp11_s1,exp11_s1_Distorted,exp11_s2,exp11_s2_Distorted,exp12_s1,exp12_s1_Distorted,exp12_s2,exp12_s2_Distorted,exp13_s1,exp13_s1_Distorted,exp13_s2,exp13_s2_Distorted,exp14_s1,exp14_s1_Distorted,exp14_s2,exp14_s2_Distorted,exp15_s1,exp15_s1_Distorted,exp15_s2,exp15_s2_Distorted,exp16_s1,exp16_s1_Distorted,exp16_s2,exp16_s2_Distorted,exp17_s1,exp17_s1_Distorted,exp17_s2,exp17_s2_Distorted,exp18_s1,exp18_s1_Distorted,exp18_s2,exp18_s2_Distorted,exp19_s1,exp19_s1_Distorted,exp19_s2,exp19_s2_Distorted,exp20_s1,exp20_s1_Distorted,exp20_s2,exp20_s2_Distorted,exp21_s1,exp21_s1_Distorted,exp21_s2,exp21_s2_Distorted,exp22_s1,exp22_s1_Distorted,exp22_s2,exp22_s2_Distorted,exp23_s1,exp23_s1_Distorted,exp23_s2,exp23_s2_Distorted,exp24_s1,exp24_s1_Distorted,exp24_s2,exp24_s2_Distorted,exp25_s1,exp25_s1_Distorted,exp25_s2,exp25_s2_Distorted,exp26_s1,exp26_s1_Distorted,exp26_s2,exp26_s2_Distorted,exp27_s1,exp27_s1_Distorted,exp27_s2,exp27_s2_Distorted,exp28_s1,exp28_s1_Distorted,exp28_s2,exp28_s2_Distorted,exp29_s1,exp29_s1_Distorted,exp29_s2,exp29_s2_Distorted,exp30_s1,exp30_s1_Distorted,exp30_s2,exp30_s2_Distorted,exp31_s1,exp31_s1_Distorted,exp31_s2,exp31_s2_Distorted,exp32_s1,exp32_s1_Distorted,exp32_s2,exp32_s2_Distorted,exp33_s1,exp33_s1_Distorted,exp33_s2,exp33_s2_Distorted,exp34_s1,exp34_s1_Distorted,exp34_s2,exp34_s2_Distorted,exp35_s1,exp35_s1_Distorted,exp35_s2,exp35_s2_Distorted,exp36_s1,exp36_s1_Distorted,exp36_s2,exp36_s2_Distorted,exp37_s1,exp37_s1_Distorted,exp37_s2,exp37_s2_Distorted,exp38_s1,exp38_s1_Distorted,exp38_s2,exp38_s2_Distorted,exp39_s1,exp39_s1_Distorted,exp39_s2,exp39_s2_Distorted,exp40_s1,exp40_s1_Distorted,exp40_s2,exp40_s2_Distorted,exp41_s1,exp41_s1_Distorted,exp41_s2,exp41_s2_Distorted,exp42_s1,exp42_s1_Distorted,exp42_s2,exp42_s2_Distorted,exp43_s1,exp43_s1_Distorted,exp43_s2,exp43_s2_Distorted,exp44_s1,exp44_s1_Distorted,exp44_s2,exp44_s2_Distorted,exp45_s1,exp45_s1_Distorted,exp45_s2,exp45_s2_Distorted,exp46_s1,exp46_s1_Distorted,exp46_s2,exp46_s2_Distorted,exp47_s1,exp47_s1_Distorted,exp47_s2,exp47_s2_Distorted,exp48_s1,exp48_s1_Distorted,exp48_s2,exp48_s2_Distorted,exp49_s1,exp49_s1_Distorted,exp49_s2,exp49_s2_Distorted,exp50_s1,exp50_s1_Distorted,exp50_s2,exp50_s2_Distorted
0,4,3,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,1,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,1,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0
0,4,2,0,0,4,1,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,0,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,1,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,1,0,0,4,4,0,0,4,1,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,3,0,0
0,4,0,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,1,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,2,0,0,4,1,0,0
0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0
0,4,3,0,0,4,4,0,0,4,1,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,0,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,1,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,0,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,3,0,0
0,4,3,0,0,4,3,0,0,4,4,0,0,4,1,0,0,4,1,0,0,4,1,0,0,4,1,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,4,0,0
0,4,3,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,1,0,0,4,1,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0
0,4,2,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,2,0,0,4,1,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,0,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0
0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,1,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,4,0,0,4,1,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,1,0,0,4,3,0,0,4,2,0,0,4,3,0,0
0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,1,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,1,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,1,0,0
0,4,3,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,1,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,1,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,0,0,0,4,3,0,0,4,4,0,0,4,3,0,0
0,4,2,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,1,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,0,0,0
0,4,4,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,1,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,1,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,1,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,2,0,0
0,4,4,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,1,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0
0,4,2,0,0,4,1,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,3,0,0,4,0,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,1,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,4,0,0
0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,4,0,0
0,4,3,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,0,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,3,0,0,4,4,0,0,4,1,0,0,4,1,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0
0,4,3,0,0,4,1,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,1,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,1,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0
0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,1,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,1,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,0,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,2,0,0
0,4,4,0,0,4,4,0,0,4,1,0,0,4,4,0,0,4,1,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,1,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,1,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0
0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,1,0,0
0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,1,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,2,0,0
0,4,3,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,2,0,0,4,1,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,1,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,1,0,0,4,4,0,0,4,1,0,0,4,4,0,0
0,4,3,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,0,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,2,0,0,4,1,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,3,0,0
0,4,1,0,0,4,3,0,0,4,4,0,0,4,1,0,0,4,1,0,0,4,1,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,1,0,0,4,4,0,0,4,0,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,1,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,3,0,0,4,2,0,0
0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,0,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,1,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,3,0,0
0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,2,0,0
0,4,2,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,3,0,0
0,4,4,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,1,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,3,0,0,4,1,0,0,4,2,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,4,0,0,4,3,0,0
0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,1,0,0,4,4,0,0,4,2,0,0,4,3,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,2,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,1,0,0,4,3,0,0,4,3,0,0,4,4,0,0,4,3,0,0,4,2,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,4,0,0,4,2,0,0,4,3,0,0
