time,exp1_s1,exp1_s2,exp1_s3,exp2_s1,exp2_s2,exp2_s3
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,0,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,0,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
0,1,0,44,1,0,44
